DEPTH,CKH,CPOR,DT,DTSM,GR,NPHI,PHIE,RHOB,RT,RXO,SW,TEMP,VCL,VDOL,VLIM
-348.58,-999.25,-999.25,-999.25,-999.25,8.542,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-348.08,-999.25,-999.25,-999.25,-999.25,9.526,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-347.58,-999.25,-999.25,-999.25,-999.25,10.581,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-347.08,-999.25,-999.25,-999.25,-999.25,10.557,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-346.58,-999.25,-999.25,-999.25,-999.25,10.655,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-346.08,-999.25,-999.25,-999.25,-999.25,11.375,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-345.58,-999.25,-999.25,-999.25,-999.25,12.213,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-345.08,-999.25,-999.25,-999.25,-999.25,12.795,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-344.58,-999.25,-999.25,-999.25,-999.25,12.605,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-344.08,-999.25,-999.25,-999.25,-999.25,12.118,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-343.58,-999.25,-999.25,-999.25,-999.25,11.848,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-343.08,-999.25,-999.25,-999.25,-999.25,11.046,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-342.58,-999.25,-999.25,-999.25,-999.25,10.109,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-342.08,-999.25,-999.25,-999.25,-999.25,10.578,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-341.58,-999.25,-999.25,-999.25,-999.25,11.053,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-341.08,-999.25,-999.25,-999.25,-999.25,10.201,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-340.58,-999.25,-999.25,-999.25,-999.25,9.252,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-340.08,-999.25,-999.25,-999.25,-999.25,9.205,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-339.58,-999.25,-999.25,-999.25,-999.25,8.962,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-339.08,-999.25,-999.25,-999.25,-999.25,8.724,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-338.58,-999.25,-999.25,-999.25,-999.25,9.441,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-338.08,-999.25,-999.25,-999.25,-999.25,10.137,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-337.58,-999.25,-999.25,-999.25,-999.25,9.905,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-337.08,-999.25,-999.25,-999.25,-999.25,9.277,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-336.58,-999.25,-999.25,-999.25,-999.25,9.265,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-336.08,-999.25,-999.25,-999.25,-999.25,9.979,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-335.58,-999.25,-999.25,-999.25,-999.25,10.445,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-335.08,-999.25,-999.25,-999.25,-999.25,9.848,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-334.58,-999.25,-999.25,-999.25,-999.25,9.278,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-334.08,-999.25,-999.25,-999.25,-999.25,9.736,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-333.58,-999.25,-999.25,-999.25,-999.25,10.026,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-333.08,-999.25,-999.25,-999.25,-999.25,9.477,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-332.58,-999.25,-999.25,-999.25,-999.25,8.759,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
